NucleusID,Area,Perimeter,AxisRatio
1,2317,193.555,1.39453177761805
2,2608,193.381,1.41930534889305
3,5192,429.094,2.61960362180279
4,3295,209.965,1.13191026489928
5,1912,166.859,1.19311326604359
6,4984,266.352,1.19907941781285
7,2351,176.346,1.1591376057058
8,16618,719.409,1.15701361370834
9,2329,455.311,2.53072229211805
10,4473,269.66,1.07392292522991
11,4811,261.992,1.31754191117751
12,3728,238.291,1.16074799728035
13,2740,191.597,1.17976162648757
14,8188,572.048,1.11824966250537
15,6246,312.377,1.1308543199485
16,5072,367.11,1.09157084657159
17,8454,539.233,1.22323176566687
18,8793,685.899,1.07016616693503
19,9792,463.608,1.26439166313353
20,6314,310.407,1.35521985278805
21,6426,606.294,1.47621402363074
22,2690,197.808,1.18492253673388
23,5056,271.263,1.18875543226993
24,1988,190.786,1.43907070212834
25,2900,198.221,1.18821780769516
26,5805,345.906,1.26520385137141
27,6459,353.133,1.21438833307261
28,5175,277.386,1.03654560458918
29,5140,321.738,1.04312638592624
30,4928,337.212,1.21797497885722
31,4906,267.236,1.59708232356768
32,10763,667.074,1.10855761197221
33,11659,509.011,1.52045720757884
34,9609,569.21,1.5416172866893
35,3728,238.424,1.23663078726646
36,6392,335.318,1.17367937500788
37,3661,218.971,1.12916722886987
38,3400,221.651,1.24926154188793
39,3937,276.385,1.18963681645699
40,7643,437.573,1.11796158711181
41,1994,196.923,1.11626084334287
42,3949,245.643,1.05970535444225
43,1993,200.513,1.39717684354797
44,4103,266.633,1.06006250476076
45,7148,596.645,1.09657009956969
46,5368,360.668,1.40490599239896
47,2497,189.313,1.43414342099759
48,5470,382.468,1.2085118009609
49,155,103.098,1.38311000749227
50,4058,244.725,1.08782653410464
51,4287,247.81,1.08998172224163
52,7443,380.484,1.03732991699258
53,3505,240.788,1.41049049754961
54,5384,301.087,1.19201456333325
55,3892,237.058,1.35786576403373
56,3989,231.211,1.07869663319608
57,1722,197.354,1.13706006450536
58,6117,363.232,1.50659364377374
59,3161,212.662,1.040121144908
60,3366,214.604,1.16006823287041
61,7935,473.122,1.12921727327381
62,9932,572,1.19454501765527
63,3152,241.103,1.12566967867164
64,5500,295.223,1.2622443861709
65,4821,253.837,1.11431011829983
66,5403,391.019,1.30170623656896
67,3156,223.197,1.18361001432581
68,2120,230.077,1.44340832564904
69,362,140.229,5.94023630441752
